local_authority_code,local_authority_name,LSOACD,LSOANM,house_price_year_ending_dec_2016,house_price_year_ending_mar_2021
E09000015,Harrow,E01002125,Harrow 010B,365000,500000
E09000018,Hounslow,E01002652,Hounslow 021D,417000,464000
E09000024,Merton,E01003459,Merton 006E,480500,481250
E09000023,Lewisham,E01003213,Lewisham 008C,525000,560000
E09000022,Lambeth,E01003064,Lambeth 028A,455000,472000
E09000006,Bromley,E01000784,Bromley 002E,480000,537000
E09000009,Ealing,E01001335,Ealing 038B,648500,700000
E09000010,Enfield,E01001420,Enfield 020B,460000,560000
E09000011,Greenwich,E01001647,Greenwich 022B,520000,588000
E09000022,Lambeth,E01003164,Lambeth 025A,492375,473000
E09000018,Hounslow,E01002564,Hounslow 003B,516750,650000
E09000023,Lewisham,E01003227,Lewisham 019B,650000,610000
E09000009,Ealing,E01001253,Ealing 030C,618500,578500
E09000006,Bromley,E01000648,Bromley 016C,435000,369000
E09000007,Camden,E01000950,Camden 023D,,
E09000011,Greenwich,E01001581,Greenwich 016A,429975,550000
E09000026,Redbridge,E01003682,Redbridge 036H,580000,550000
E09000015,Harrow,E01002210,Harrow 032D,547500,550000
E09000006,Bromley,E01000802,Bromley 004B,495000,575000
E09000021,Kingston upon Thames,E01002928,Kingston upon Thames 008B,363650,577500
E09000027,Richmond upon Thames,E01003898,Richmond upon Thames 015A,422500,475000
E09000016,Havering,E01002253,Havering 019A,510000,562500
E09000003,Barnet,E01000310,Barnet 034C,447348,845000
